month,region,state,product,product_family,channel,dealer_cohort,units_mt,net_revenue_lakh,gross_margin_pct,discount_pct
2024-05-01,North,Punjab,Urea,Core fertiliser,Retailer,Stable core,292,2.52,18.6,3.8
2024-05-01,North,Punjab,Urea,Core fertiliser,Distributor,At-risk FY24 cohort,282,2.31,16.7,5.4
2024-05-01,North,Punjab,Urea,Core fertiliser,Co-op,Stable core,309,2.53,17.6,4.3
2024-05-01,North,Haryana,Urea,Core fertiliser,Agri clinic,New growth cohort,272,2.23,16.7,3.7
2024-05-01,North,Punjab,DAP,Core fertiliser,Retailer,Stable core,374,3.77,16.5,3.6
2024-05-01,North,Uttar Pradesh,DAP,Core fertiliser,Distributor,At-risk FY24 cohort,295,2.85,17.6,5.6
2024-05-01,North,Haryana,DAP,Core fertiliser,Co-op,New growth cohort,297,2.87,17,4.1
2024-05-01,North,Punjab,DAP,Core fertiliser,Agri clinic,Stable core,341,3.29,16.6,4.8
2024-05-01,North,Haryana,NPK 20-20,Complex fertiliser,Retailer,Stable core,353,4.07,18.5,3.5
2024-05-01,North,Haryana,NPK 20-20,Complex fertiliser,Distributor,At-risk FY24 cohort,387,4.3,18.4,6.1
2024-05-01,North,Haryana,NPK 20-20,Complex fertiliser,Co-op,New growth cohort,364,4.04,17.3,3.7
2024-05-01,North,Uttar Pradesh,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,365,4.05,16.2,3.1
2024-05-01,North,Haryana,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,379,4.92,18.4,4.8
2024-05-01,North,Uttar Pradesh,NPK 12-32-16,Complex fertiliser,Distributor,At-risk FY24 cohort,400,5.02,16.4,7.3
2024-05-01,North,Punjab,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,391,4.91,18.7,3.8
2024-05-01,North,Haryana,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,437,5.48,17.9,3.1
2024-05-01,North,Uttar Pradesh,BioGro,Bio-stimulant,Retailer,Stable core,441,6.36,16.4,4.7
2024-05-01,North,Punjab,BioGro,Bio-stimulant,Distributor,At-risk FY24 cohort,523,7.32,18.5,7.2
2024-05-01,North,Haryana,BioGro,Bio-stimulant,Co-op,Stable core,562,7.87,18,3.8
2024-05-01,North,Punjab,BioGro,Bio-stimulant,Agri clinic,Stable core,460,6.44,18.4,3.8
2024-05-01,North,Punjab,CropShield,Core fertiliser,Retailer,Stable core,475,7.54,16.6,5
2024-05-01,North,Uttar Pradesh,CropShield,Core fertiliser,Distributor,At-risk FY24 cohort,471,7.28,17.6,5.9
2024-05-01,North,Haryana,CropShield,Core fertiliser,Co-op,Stable core,519,8.02,18.5,4.3
2024-05-01,North,Haryana,CropShield,Core fertiliser,Agri clinic,Stable core,522,8.06,17.7,3.5
2024-05-01,North,Punjab,Specialty Zinc,Core fertiliser,Retailer,Stable core,571,9.89,16.6,3.4
2024-05-01,North,Punjab,Specialty Zinc,Core fertiliser,Distributor,At-risk FY24 cohort,548,9.26,17,6.9
2024-05-01,North,Haryana,Specialty Zinc,Core fertiliser,Co-op,Stable core,473,7.99,18,3.3
2024-05-01,North,Punjab,Specialty Zinc,Core fertiliser,Agri clinic,New growth cohort,487,8.23,16.2,3.1
2024-05-01,East,Bihar,Urea,Core fertiliser,Retailer,New growth cohort,335,2.89,14.4,3.4
2024-05-01,East,Bihar,Urea,Core fertiliser,Distributor,At-risk FY24 cohort,334,2.74,15.6,5.8
2024-05-01,East,West Bengal,Urea,Core fertiliser,Co-op,New growth cohort,383,3.14,15.2,3.5
2024-05-01,East,Odisha,Urea,Core fertiliser,Agri clinic,New growth cohort,325,2.67,15.7,3.7
2024-05-01,East,Bihar,DAP,Core fertiliser,Retailer,Stable core,408,4.11,15.8,4.1
2024-05-01,East,Odisha,DAP,Core fertiliser,Distributor,At-risk FY24 cohort,389,3.75,15.8,6.2
2024-05-01,East,West Bengal,DAP,Core fertiliser,Co-op,Stable core,373,3.6,14.9,4.2
2024-05-01,East,Bihar,DAP,Core fertiliser,Agri clinic,Stable core,331,3.19,14.7,3.2
2024-05-01,East,West Bengal,NPK 20-20,Complex fertiliser,Retailer,Stable core,367,4.23,14.9,3.9
2024-05-01,East,West Bengal,NPK 20-20,Complex fertiliser,Distributor,At-risk FY24 cohort,436,4.84,15.2,7.3
2024-05-01,East,Odisha,NPK 20-20,Complex fertiliser,Co-op,Stable core,407,4.52,14.7,4.3
2024-05-01,East,Odisha,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,390,4.33,14.1,4.3
2024-05-01,East,West Bengal,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,443,5.75,15.4,4.6
2024-05-01,East,Odisha,NPK 12-32-16,Complex fertiliser,Distributor,At-risk FY24 cohort,435,5.46,14.2,6.4
2024-05-01,East,Odisha,NPK 12-32-16,Complex fertiliser,Co-op,New growth cohort,412,5.17,14.6,3.3
2024-05-01,East,Odisha,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,445,5.58,14.3,3.3
2024-05-01,East,West Bengal,BioGro,Bio-stimulant,Retailer,New growth cohort,507,7.31,16.8,3.6
2024-05-01,East,West Bengal,BioGro,Bio-stimulant,Distributor,At-risk FY24 cohort,480,6.72,14.8,5.7
2024-05-01,East,West Bengal,BioGro,Bio-stimulant,Co-op,New growth cohort,631,8.83,16.6,4.6
2024-05-01,East,Odisha,BioGro,Bio-stimulant,Agri clinic,Stable core,586,8.2,14.8,4.7
2024-05-01,East,Odisha,CropShield,Core fertiliser,Retailer,New growth cohort,643,10.2,16.2,4.1
2024-05-01,East,West Bengal,CropShield,Core fertiliser,Distributor,At-risk FY24 cohort,620,9.58,16.7,5.4
2024-05-01,East,Odisha,CropShield,Core fertiliser,Co-op,Stable core,558,8.62,15.2,4.2
2024-05-01,East,Odisha,CropShield,Core fertiliser,Agri clinic,Stable core,594,9.18,14.5,4.2
2024-05-01,East,West Bengal,Specialty Zinc,Core fertiliser,Retailer,Stable core,499,8.64,15.4,3.7
2024-05-01,East,West Bengal,Specialty Zinc,Core fertiliser,Distributor,At-risk FY24 cohort,617,10.43,16.6,7.2
2024-05-01,East,Bihar,Specialty Zinc,Core fertiliser,Co-op,Stable core,549,9.28,16,3.8
2024-05-01,East,Odisha,Specialty Zinc,Core fertiliser,Agri clinic,New growth cohort,556,9.4,15.5,3.8
2024-05-01,West,Maharashtra,Urea,Core fertiliser,Retailer,New growth cohort,452,3.9,18.1,4.1
2024-05-01,West,Gujarat,Urea,Core fertiliser,Distributor,New growth cohort,548,4.49,16.1,5
2024-05-01,West,Rajasthan,Urea,Core fertiliser,Co-op,Stable core,468,3.84,17.2,4.4
2024-05-01,West,Maharashtra,Urea,Core fertiliser,Agri clinic,Stable core,524,4.3,18.4,4.1
2024-05-01,West,Gujarat,DAP,Core fertiliser,Retailer,Stable core,487,4.9,16.4,3.4
2024-05-01,West,Rajasthan,DAP,Core fertiliser,Distributor,Stable core,547,5.28,18.4,3.4
2024-05-01,West,Gujarat,DAP,Core fertiliser,Co-op,New growth cohort,610,5.89,16.5,4.1
2024-05-01,West,Gujarat,DAP,Core fertiliser,Agri clinic,Stable core,486,4.69,17,3.4
2024-05-01,West,Rajasthan,NPK 20-20,Complex fertiliser,Retailer,New growth cohort,556,6.41,18,3.8
2024-05-01,West,Gujarat,NPK 20-20,Complex fertiliser,Distributor,New growth cohort,672,7.46,17.7,4.1
2024-05-01,West,Gujarat,NPK 20-20,Complex fertiliser,Co-op,Stable core,641,7.12,16.3,3.9
2024-05-01,West,Gujarat,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,665,7.38,16.3,4.6
2024-05-01,West,Gujarat,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,668,8.66,16.8,4.1
2024-05-01,West,Maharashtra,NPK 12-32-16,Complex fertiliser,Distributor,New growth cohort,554,6.95,16.6,4.7
2024-05-01,West,Rajasthan,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,693,8.7,17.8,3.3
2024-05-01,West,Rajasthan,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,694,8.71,18.1,4.2
2024-05-01,West,Rajasthan,BioGro,Bio-stimulant,Retailer,Stable core,883,12.73,19.1,3.9
2024-05-01,West,Rajasthan,BioGro,Bio-stimulant,Distributor,Stable core,911,12.75,17.8,4
2024-05-01,West,Rajasthan,BioGro,Bio-stimulant,Co-op,New growth cohort,880,12.32,16.9,3.4
2024-05-01,West,Rajasthan,BioGro,Bio-stimulant,Agri clinic,Stable core,769,10.77,16.5,5
2024-05-01,West,Maharashtra,CropShield,Core fertiliser,Retailer,Stable core,979,15.54,17.4,3.1
2024-05-01,West,Gujarat,CropShield,Core fertiliser,Distributor,Stable core,803,12.41,16.6,4.3
2024-05-01,West,Gujarat,CropShield,Core fertiliser,Co-op,Stable core,892,13.78,17.4,4.9
2024-05-01,West,Gujarat,CropShield,Core fertiliser,Agri clinic,Stable core,903,13.95,18.1,4.7
2024-05-01,West,Rajasthan,Specialty Zinc,Core fertiliser,Retailer,New growth cohort,783,13.56,16.2,3.9
2024-05-01,West,Rajasthan,Specialty Zinc,Core fertiliser,Distributor,Stable core,739,12.49,16.2,3.7
2024-05-01,West,Rajasthan,Specialty Zinc,Core fertiliser,Co-op,New growth cohort,885,14.96,18.4,4.1
2024-05-01,West,Maharashtra,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,741,12.52,16.9,4.1
2024-05-01,South,Karnataka,Urea,Core fertiliser,Retailer,Stable core,545,4.7,17.4,4.8
2024-05-01,South,Telangana,Urea,Core fertiliser,Distributor,Stable core,484,3.97,16.9,4.9
2024-05-01,South,Andhra Pradesh,Urea,Core fertiliser,Co-op,Stable core,459,3.76,16.7,3.8
2024-05-01,South,Telangana,Urea,Core fertiliser,Agri clinic,Stable core,501,4.11,16.4,5.1
2024-05-01,South,Andhra Pradesh,DAP,Core fertiliser,Retailer,New growth cohort,478,4.81,16.1,3.3
2024-05-01,South,Telangana,DAP,Core fertiliser,Distributor,Stable core,547,5.28,18.6,3.5
2024-05-01,South,Karnataka,DAP,Core fertiliser,Co-op,Stable core,600,5.79,18,3.4
2024-05-01,South,Telangana,DAP,Core fertiliser,Agri clinic,New growth cohort,573,5.53,18.7,3.9
2024-05-01,South,Andhra Pradesh,NPK 20-20,Complex fertiliser,Retailer,Stable core,648,7.46,18.1,4.6
2024-05-01,South,Telangana,NPK 20-20,Complex fertiliser,Distributor,New growth cohort,628,6.97,18.4,3.1
2024-05-01,South,Telangana,NPK 20-20,Complex fertiliser,Co-op,New growth cohort,611,6.78,18,3.5
2024-05-01,South,Karnataka,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,555,6.16,18,4.1
2024-05-01,South,Karnataka,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,599,7.77,16.8,5
2024-05-01,South,Andhra Pradesh,NPK 12-32-16,Complex fertiliser,Distributor,New growth cohort,566,7.1,16.8,3.2
2024-05-01,South,Andhra Pradesh,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,553,6.94,16.8,3.3
2024-05-01,South,Telangana,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,644,8.08,15.9,3.7
2024-05-01,South,Karnataka,BioGro,Bio-stimulant,Retailer,New growth cohort,809,11.67,18.1,4.9
2024-05-01,South,Andhra Pradesh,BioGro,Bio-stimulant,Distributor,Stable core,863,12.08,18.5,4
2024-05-01,South,Karnataka,BioGro,Bio-stimulant,Co-op,Stable core,742,10.39,18,4.5
2024-05-01,South,Andhra Pradesh,BioGro,Bio-stimulant,Agri clinic,Stable core,791,11.07,17.3,4.9
2024-05-01,South,Andhra Pradesh,CropShield,Core fertiliser,Retailer,New growth cohort,813,12.9,18.2,3.5
2024-05-01,South,Karnataka,CropShield,Core fertiliser,Distributor,Stable core,750,11.59,19.2,4.1
2024-05-01,South,Karnataka,CropShield,Core fertiliser,Co-op,Stable core,853,13.18,17,4.4
2024-05-01,South,Telangana,CropShield,Core fertiliser,Agri clinic,New growth cohort,822,12.7,19.3,4.6
2024-05-01,South,Karnataka,Specialty Zinc,Core fertiliser,Retailer,Stable core,775,13.42,17.6,4.4
2024-05-01,South,Telangana,Specialty Zinc,Core fertiliser,Distributor,New growth cohort,735,12.42,18.5,4.2
2024-05-01,South,Karnataka,Specialty Zinc,Core fertiliser,Co-op,Stable core,772,13.05,16.5,4.5
2024-05-01,South,Andhra Pradesh,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,839,14.18,16.5,4.5
2024-05-01,Central,Chhattisgarh,Urea,Core fertiliser,Retailer,New growth cohort,542,4.67,17.1,3.4
2024-05-01,Central,Chhattisgarh,Urea,Core fertiliser,Distributor,Stable core,512,4.2,18.7,4.1
2024-05-01,Central,Madhya Pradesh,Urea,Core fertiliser,Co-op,Stable core,532,4.36,16.3,4.9
2024-05-01,Central,Chhattisgarh,Urea,Core fertiliser,Agri clinic,Stable core,520,4.26,17.7,4.3
2024-05-01,Central,Chhattisgarh,DAP,Core fertiliser,Retailer,New growth cohort,463,4.66,16.5,4.8
2024-05-01,Central,Madhya Pradesh,DAP,Core fertiliser,Distributor,New growth cohort,549,5.3,16.6,3.1
2024-05-01,Central,Chhattisgarh,DAP,Core fertiliser,Co-op,Stable core,549,5.3,18.3,4
2024-05-01,Central,Madhya Pradesh,DAP,Core fertiliser,Agri clinic,Stable core,578,5.58,17.7,3.3
2024-05-01,Central,Chhattisgarh,NPK 20-20,Complex fertiliser,Retailer,Stable core,594,6.84,16.9,4.7
2024-05-01,Central,Madhya Pradesh,NPK 20-20,Complex fertiliser,Distributor,New growth cohort,548,6.08,17.5,4
2024-05-01,Central,Madhya Pradesh,NPK 20-20,Complex fertiliser,Co-op,New growth cohort,621,6.89,16.3,3.7
2024-05-01,Central,Chhattisgarh,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,618,6.86,18.2,3.7
2024-05-01,Central,Madhya Pradesh,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,629,8.16,18,3.8
2024-05-01,Central,Madhya Pradesh,NPK 12-32-16,Complex fertiliser,Distributor,New growth cohort,548,6.88,16.3,3.7
2024-05-01,Central,Madhya Pradesh,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,635,7.97,18,3.7
2024-05-01,Central,Madhya Pradesh,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,591,7.42,17.5,5
2024-05-01,Central,Chhattisgarh,BioGro,Bio-stimulant,Retailer,Stable core,854,12.31,16.4,4.5
2024-05-01,Central,Madhya Pradesh,BioGro,Bio-stimulant,Distributor,Stable core,799,11.19,17.8,4
2024-05-01,Central,Chhattisgarh,BioGro,Bio-stimulant,Co-op,Stable core,678,9.49,17.2,3.5
2024-05-01,Central,Chhattisgarh,BioGro,Bio-stimulant,Agri clinic,Stable core,696,9.74,17.4,4.1
2024-05-01,Central,Madhya Pradesh,CropShield,Core fertiliser,Retailer,Stable core,787,12.49,19.1,4.6
2024-05-01,Central,Madhya Pradesh,CropShield,Core fertiliser,Distributor,Stable core,766,11.83,18.6,4.1
2024-05-01,Central,Chhattisgarh,CropShield,Core fertiliser,Co-op,Stable core,719,11.11,18.2,3.3
2024-05-01,Central,Chhattisgarh,CropShield,Core fertiliser,Agri clinic,New growth cohort,847,13.09,17.4,4.9
2024-05-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Retailer,Stable core,852,14.76,19.1,3.8
2024-05-01,Central,Chhattisgarh,Specialty Zinc,Core fertiliser,Distributor,Stable core,731,12.35,17.1,3.1
2024-05-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Co-op,Stable core,788,13.32,19,4.5
2024-05-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,805,13.6,18.3,3.9
2024-06-01,North,Punjab,Urea,Core fertiliser,Retailer,Stable core,402,3.47,18,4.6
2024-06-01,North,Punjab,Urea,Core fertiliser,Distributor,At-risk FY24 cohort,434,3.56,18.3,7
2024-06-01,North,Haryana,Urea,Core fertiliser,Co-op,New growth cohort,407,3.34,18.2,4.5
2024-06-01,North,Haryana,Urea,Core fertiliser,Agri clinic,New growth cohort,480,3.94,18.6,4.3
2024-06-01,North,Uttar Pradesh,DAP,Core fertiliser,Retailer,Stable core,545,5.49,16.2,4.4
2024-06-01,North,Uttar Pradesh,DAP,Core fertiliser,Distributor,At-risk FY24 cohort,492,4.75,17.1,5.5
2024-06-01,North,Punjab,DAP,Core fertiliser,Co-op,Stable core,455,4.39,17.9,3.7
2024-06-01,North,Punjab,DAP,Core fertiliser,Agri clinic,Stable core,526,5.08,16.5,4.9
2024-06-01,North,Haryana,NPK 20-20,Complex fertiliser,Retailer,New growth cohort,502,5.78,17.1,3.4
2024-06-01,North,Haryana,NPK 20-20,Complex fertiliser,Distributor,At-risk FY24 cohort,435,4.83,18.9,7.3
2024-06-01,North,Uttar Pradesh,NPK 20-20,Complex fertiliser,Co-op,Stable core,535,5.94,17.3,5.1
2024-06-01,North,Punjab,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,532,5.91,17,3.7
2024-06-01,North,Uttar Pradesh,NPK 12-32-16,Complex fertiliser,Retailer,New growth cohort,492,6.38,18.9,4.2
2024-06-01,North,Haryana,NPK 12-32-16,Complex fertiliser,Distributor,At-risk FY24 cohort,546,6.85,18.8,7.1
2024-06-01,North,Haryana,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,485,6.09,18.1,5
2024-06-01,North,Uttar Pradesh,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,567,7.12,15.9,3.4
2024-06-01,North,Haryana,BioGro,Bio-stimulant,Retailer,Stable core,811,11.69,17.9,4.7
2024-06-01,North,Punjab,BioGro,Bio-stimulant,Distributor,At-risk FY24 cohort,756,10.58,18.1,6
